,company names,phones,urls,emails
84,"HELMATEL, S.L.",923204205,www.helmatel.es,helmatel@helmatel.es
85,"ITISA, S.L.",972476071,mailto:itisa@itisa.net?subject=Contacto desde https://empresite.eleconomista.es,itisa@itisa.net
86,"EXCAVACIONES Y PINTURAS, S.A.",972571458,www.epsateicon.com,comptabilitat@epsateicon.com
87,"BIGMAT SAGRA, S.L.",925554797,www.bigmat.es,bsagra@bigmat.es
88,"SUMINISTRO INTEGRAL DEL AGUA, S.L.",986787548,www.sumiagua.com,info@sumiagua.es
89,"MATERIALES CALVO, S.A.",949890034,www.materialescalvo.com,matcalvo21@hotmail.com
90,"TPF FACTORY, S.L.",902107500,www.tpfconsultora.es,administracion@tpfconsultora.es
91,"LANCHO CANDELEDA, S.L.",920382081,mailto:lanchocandelera@yahoo.es?subject=Contacto desde https://empresite.eleconomista.es,lanchocandelera@yahoo.es
92,"VISOREN, S.L.",932415830,www.visoren.es,visoren@visoren.es
93,"LORENZO COMERCIAL, S.L.",986487563,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
94,"ALMACENES RECAREY, S.L.",not found,mailto:info@recareyalmacenes.com?subject=Contacto desde https://empresite.eleconomista.es,info@recareyalmacenes.com
95,"ECOCIVIL ELECTROMUR G.E., S.L.",968826153,mailto:lrosal@ecocivil.es?subject=Contacto desde https://empresite.eleconomista.es,lrosal@ecocivil.es
96,"FERROINSA FORTES, S.L.",957768465,www.ferroinsa.com,comercial@ferroinsa.com
97,"MAQUINARIA CURVASER, S.L.",936357650,www.curvaser.com,administracion@curvaser.com
98,"KAIMANN IBERIA, S.L.",not found,www.kaimann.com,info@kaimann.es
99,"PESET VIDAL, S.L.",964532592,www.pesetvidal.com,pesetvidal@pesetvidal.com
100,"PINTURAS NIETO, S.A.",967245780,www.pinturasnieto.es,pinturasnieto@pinturasnieto.com
101,"FORMESA, S.A.",983293231,www.forjadosformesa.com,formesa@forjadosformesa.com
102,"SOBRINO G., S.A.",926320276,www.sobrinospiodelcoso.com,sobrinospiodelcoso@sobrinospiodelcoso.com
103,"AMAFRI, S.L.",976403440,www.amafri.es,info@amafri.es
104,"LEONARDO AZPIRI, S.A.",943203512,www.lazpiri.com,eibar@lazpiri.com
105,"HISEMAR, S.L.",986679024,www.hisemar.es,hisemar@hisemar.es
106,"MATERIALS GISBERT, S.L.",977500306,www.materialsgisbert.com,clientes@materialsgisbert.com
107,"PREHORVINOR, S.L.",not found,www.prefabricadospujol.com,info@prefabricadospujol.com
108,"NOVASOL SPRAY, S.A.",977677079,www.pintyplus.com,novasol@novasolspray.com
109,"MARCAS VIALES, S.A.",949297550,www.marcasviales-sa.es,mv@marcasviales-sa.es
110,"HIDRALAIR, S.L.",938458752,www.hidralair.cat,hidralair@hidralair.com
111,"ESTUDIOS DE ARQUITECTOS Y CONSULTORES SN, S.L.",913739705,mailto:eacsn@eacsn.es?subject=Contacto desde https://empresite.eleconomista.es,eacsn@eacsn.es
112,"TENYSOL, S.L.",942344352,www.tenysol.com,tenysol@tenysol.com
113,"VIKARPIN, S.L.",948100407,www.vikarpin.com,ansoain@vikarpin.com
114,"SAMACO, S.L.",918938085,www.samacosl.com,mariajoseruiz@samacosl.com
115,"PINTURES MARTORELL, S.L.",937755911,www.pinturesmartorell.com,comercial@pinturesmartorell.com
116,"CERIMES 2011, S.L.",938172928,not found,not found
117,"BERROJALBIZ E HIJOS, S.A.",920211710,www.berrojalbizehijos.es,info@berrojalbizehijos.es
118,"ALMACENES CROS, S.L.",981753945,www.almacenescros.es,crosalmacenes@yahoo.es
119,"ISMAEL TELLO, S.A.",927347864,www.bigmat.es,itello@bigmat.es
120,"GENERAL DE SUMINISTROS BALLESTER, S.L.",968321222,www.gesuba.com,info@gesuba.com
121,"SUBMINISTRAMENTS DE MATERIALS I EXCAVACIONS IGUALADA, S.L. ",938036049,www.sumex.com.es,sumex@sumex.com.es
122,"HONA HIERROS, S.A.",944560089,www.honahierros.com,info@honahierros.eu
123,"GRENERGY RENOVABLES, S.L.",917081970,www.grenergy.eu,info@grenergy.eu
124,"PROVEEDORA DE ALUMINIO, S.A.",not found,www.extruperfil.es,sevilla@proveedoresdealuminio.es
125,"SALDUBA, S.A.",914162712,mailto:negocio@kelbe.com?subject=Contacto desde https://empresite.eleconomista.es,negocio@kelbe.com
126,"FRESNO, S.A.",916207045,www.fresnoinmobiliaria.com,info@fresnoinmobiliaria.com
127,"VERONA, S.A.",not found,www.verona-sport.com,not found
128,"ZOSMA, S.A.",915443405,www.zosma.es,zosma@zosma.es
129,"CORTINA Y MALLO, S.A.",985332341,www.cortinaymallo.com,info@cortinaymallo.com
130,"CONSTRUCCIONES PULIDO, S.A.",926320992,not found,not found
131,"PROMOCIONES CUBELLS ALMENAR, S.L.",961592730,www.cubellsalmenar.com,info@cubellsalmenar.com
132,"CASSA GRUPO EMPRESARIAL, S.L.",943219339,www.cassagrupo.com,admon1@cassagrupo.net
133,"GIROP, S.A.",972236511,mailto:girop@girop.com?subject=Contacto desde https://empresite.eleconomista.es,girop@girop.com
134,"LUZCO, S.L.",916322002,www.luzco.es,luzco@luzco.es
135,"ALMACENES GENERALES R. ANDRADE, S.L.",961536135,www.almacenes-agv.com,contabilidad@almacenes-agv.com
136,"ASME, S.L.",982244703,www.asmesl.com,asme@asmesl.es
137,"ASFALTOS Y FIRMES BURGALESES, S.A.",947320962,mailto:administracion@yarritusa.com?subject=Contacto desde https://empresite.eleconomista.es,administracion@yarritusa.com
138,"BALPIA, S.A.",927225811,mailto:fhernandez@balpiasa.es?subject=Contacto desde https://empresite.eleconomista.es,fhernandez@balpiasa.es
139,"SUMINISTROS BARBANZA, S.L.",981830303,www.suministrosbarbanza.com,info@suministrosbarbanza.es
141,"AZULEJOS HERMIDA, S.L.",918957697,www.azulejoshermida.es,jose@azulejoshermida.es
142,"ALMACENES EL ABSIDE RIOJA, S.A.",941304840,www.absiderioja.bigmat.es,absiderioja@bigmat.es
143,"HIERROS LAMINADOS ASTURIAS, S.A.",985322200,www.hlasturias.com,hla@hlasturias.com
144,"HARTING IBERIA, S.A.",933638484,www.harting.com,harting@harting.com
146,"ROEL Y GOMEZ, S.L.",981797267,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
147,"SUMESA, S.A.",985549722,mailto:sumesa@sumesa.net?subject=Contacto desde https://empresite.eleconomista.es,sumesa@sumesa.net
148,"CRIPTANENSE PAVIMENTOS REVESTIMIENTOS, S.L.",926561357,mailto:cripavi@bigmat.es?subject=Contacto desde https://empresite.eleconomista.es,cripavi@bigmat.es
149,"HORMIGONES MORALOS, S.L.",927533103,www.hormigonesmoralos.es,carlosmartin@grupofrade.com
150,"ARTURO OLMOS MAROTO, S.L.",983611611,www.maderas-olmos.com,olmos@maderas-olmos.com
151,"TORGUESA INDUSTRIAL, S.L.",982209662,www.torguesa.com,info@torguesa.com
152,"CODIALUM ALBACETE, S.L.",967191933,www.grupoayuso.org,gonzalo@codialum.es
153,"ALUMINIOS LA SERENA, S.A.",924845011,www.diatomea.es,administracion@alulaser.es
154,"ALQUISAGAR, S.L.",941135291,www.alquisagar.com,info@alquisagar.com
155,"ALMACENES CALINDSA, S.L.",969301414,www.grupocalindsa.es,administracion@grupocalindsa.com
156,"VELILLA GARRIDO, S.L.",949391654,www.velillasiguenza.com,info@velillasiguenza.com
157,"SUMINISTROS MONTE, S.L.",942342093,www.suministrosmonte.com,info@suministrosmonte.com
158,"SANEAMIENTOS CALDAS, S.L.",986320622,mailto:bueu@saneamientoscaldas.com?subject=Contacto desde https://empresite.eleconomista.es,bueu@saneamientoscaldas.com
159,"ALMACENES LUIS FDEZ. GALLEGO, S.L.",987547195,www.alfg.es,victomuina@alfg.es
160,"PUERTAS SANSO, S.L.",971551469,mailto:puertassanso@hotmail.com?subject=Contacto desde https://empresite.eleconomista.es,puertassanso@hotmail.com
161,"HISTAMAR, S.L.",958703715,www.histamar.es,comercial@histamar.es
162,"TRANSPORTES GARGON, S.L.",978609661,www.gargonteruel.es,info@gargonteruel.com
163,"PINTURAS T ESTEBAN, S.L.",941211605,www.pinturasestebanmartinez.es,pintu.esteban1@hotmail.com
164,"IBIZA COLOR, S.L.",971191784,mailto:pinturasibizacolor@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,pinturasibizacolor@gmail.com
165,"ALAVESA DE PINTURAS, S.A.",945218080,www.alavesadepinturas.com,alavesadepinturas@alavesadepinturas.com
166,"MELSACON, S.L.",928893404,www.melsacon.com,facturacion@melsacon.com
167,"VICENTE CALABUIG, S.L.",965806879,mailto:comercial@vicentecalabuig.es?subject=Contacto desde https://empresite.eleconomista.es,comercial@vicentecalabuig.es
168,"JUAN LORENTE GARCIA, S.L.",not found,www.juanlorente.com,contabilidad@juanlorente.com
169,"PINTURES VIC, S.A.",938860162,www.pinturesvic.com,pinturesvic@pinturesvic.com
171,"ALMACENES PRADA, S.L.",954835800,www.almacenesprada.com,info@almacenesprada.com
172,"BASALDE BI, S.A.",945131400,www.grupobasalde.com,info@grupobasalde.com
173,"INDUSTRIAS TAYG, S.L.",961212462,www.tayg.com,info@tayg.com
174,DECORACIONES QUINTANA - GRUPO,916725300,www.bricosoriano.com,info@dekinsa.es
175,"SEGUNDO PRIEGO, S.A.",918748300,www.segundopriego.com,priego@segundopriego.com
