,company names,phones,urls,emails
116,"PRETENSATS BARDIA, S.A.",973601100,not found,not found
117,"SISTEMAS Y ACCESORIOS EUROPEOS, S.L.",936305726,www.sistemasyaccesorioseuropeos.com,ventas@acc-sae.com
118,"TRESJIV, S.L.",965881180,mailto:compras@tresjiv.com?subject=Contacto desde https://empresite.eleconomista.es,compras@tresjiv.com
119,"MAGATZEM BOSOM, S.L.",973510127,www.bosom.cat,info@bosom.cat
120,"IMTERSA, S.L.",937707080,www.imtersa.net,comercial@imtersa.net
121,"MEGASIEM, S.L.",976529200,www.megasiem.com,info@megasiem.com
122,"COMERCIAL KV, S.L.",977394240,not found,not found
123,"IGARLEK, S.L.",943311699,www.igarlek.com,igarlek@igarlek.com
124,"BELTRAN MONTORO, S.A.",953239095,www.beltranmontoro.com,informacion@beltranmontoro.com
125,"MANUEL MEDINA BUENO, S.L.",not found,www.manuelmedinabueno.com,mmedinabueno@hotmail.com
126,"CONTRA, S.A.",916900113,www.contrasa.com,contrasa@contrasa.com
127,"SANEAMIENTOS ANTONIO ELOSEGUI, S.L.",943655122,www.antonioelosegui.com,informacion@antonioelosegui.com
128,"BARRANOVA, S.L.",932470301,www.barranova.es,barranova@barranova.es
129,"SUBMINISTRES ELECTRICS I SANITARIS ABC BAIX PENEDES, S.L.",977663959,www.abcgrup.com,montseabc@telefonica.net
130,"BPV VILLAVERDE, S.L.",916066868,mailto:admin@grupobpv.es?subject=Contacto desde https://empresite.eleconomista.es,admin@grupobpv.es
131,"MATERIALES GASCA, S.L.",976633167,www.materialesgasca.es,materialesgasca@materialesgasca.es
132,"CHICANO SUMINISTROS CONSTRUCCION, S.L.",952544000,www.bigmat.es,chicano@bigmat.es
133,"DEMETRIO ROMERO, S.L.",957772911,www.roferonline.es,ajurado@rocer.biz
134,"ALFONSO TEJERO E HIJOS, S.L.",977810416,www.atejero.com,compras@atejero.com
135,"TUBOS VEGA, S.L.",916922796,www.tubosvega.com,info@tubosvega.com
136,"BILTOSAN, S.L.",944649299,mailto:biltosanangel@hotmail.com?subject=Contacto desde https://empresite.eleconomista.es,biltosanangel@hotmail.com
137,"TRANSPORTES Y MATERIALES PRUNA, S.L.",954858200,mailto:prunajaga@hotmail.com?subject=Contacto desde https://empresite.eleconomista.es,prunajaga@hotmail.com
138,"SUMINISTROS VERASUR, S.L.",950393028,www.verasur.es,comercial@verasur.es
139,"TECNILUM, S.L.",953244198,www.tecnilum.com,contabilidad@tecnilum.com
140,"MANUEL LARA, S.L.",952874130,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
141,"FUSTES EMPORDA, S.A.",972501387,www.esteba.com,info@esteba.com
142,"BARTOLOME FABIOS E HIJOS, S.L.",957770128,www.bfabiosehijos.es,comercial@bfabiosehijos.es
143,"SUMINISTRES ELECTRICS PER MANTENIMENTS, S.A.",932250405,www.sesaelec.com,sesaelec@sesaelec.com
144,"COMERCIAL FONT GALLART, S.L.",972868240,www.fontsubira.com,ceam@fontsubira.com
145,"ALMACENES EUROPA, S.A.",not found,www.europaman.es,contabilidad@europaman.es
146,"ELCOMI, S.A.",933481966,www.elcomisa.com,elcomisa@elcomisa.com
147,"GOTARRA, S.L.",972476455,www.gotarra.cat,info@gotarra.cat
148,"TECNICAL MANRESA,S.A.",972478888,www.tecnical.com,tecnical@tecnical.com
149,"ORIGINAL GAUR, S.A.",943616078,www.ogaur.com,info@ogaur.com
150,"COMERCIAL JAYPE, S.A.",971356110,www.jaype.com,jaype@jaype.com
151,"TUBREPLAST, S.L.",959222476,www.tubreplast.es,tbp@tubreplast.es
152,"SEIRE PRODUCTS, S.L.",949366953,www.seire.es,seire@seire.net
153,"URBACON LEVANTE, S.L.",963509448,not found,not found
154,"CALES GRANADA, S.A.",958545111,www.calesgranada.com,info@calesgranada.com
155,"SUCESORES M. ALTES, S.L.",934086464,www.altesgamma.es,administracion@altesgamma.es
156,"ELECTRO GRANADA, S.L.",958506222,mailto:electrogranada@electrogranada.es?subject=Contacto desde https://empresite.eleconomista.es,electrogranada@electrogranada.es
157,"INURBAN, S.A.",968751173,www.inurban.es,info@inurban.es
158,"CONSTRURED OBRAS Y SERVICIOS, S.A.",914444480,mailto:josem@rovergrupo.com?subject=Contacto desde https://empresite.eleconomista.es,josem@rovergrupo.com
159,"ALUGOM LORCA, S.L.",968476400,www.alugom.es,al.lorca@alugom.com
160,"ALDIMAK, S.L.",938374925,www.grupaldimak.com,info@grupaldimak.com
161,"XIMOR MORTEROS, S.L.",955955324,www.ximormorteros.com,administracion@ximormorteros.com
162,"SUMINISTROS LA MURALLA, S.L.",953562008,www.suministroslamuralla.com,administracion@grupomargal.com
163,"ACCESORIOS FONTANERIA MORALES, S.L.",not found,mailto:moralesaccesorios@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,moralesaccesorios@gmail.com
164,"PEYCO PROYECTOS ESTUDIOS Y CNES., S.A.",915264504,www.peyco.es,not found
165,"EXCAVACIONES ZUBILLAGA, S.L.",not found,not found,not found
166,"CONSPA CATALUNYA, S.L.",937708530,www.conspa.com,info@conspa.com
167,"TECNOGAS, S.A.",933083812,www.tecnogas.es,tecnogas@tecnogas.es
168,"PARRAS, S.L.",954884226,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
169,"SANEAMIENTOS IBAIZABAL, S.A.",946730601,www.ibaizabalsaneamientos.com,s.ibaizabal@ibaizabalsaneamientos.com
170,"PROVEEDORA DE LA COSTA, S.L.L.",not found,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
171,"MEDITERRANEO HISPA  GROUP, S.A.",968226370,www.mediterraneo-hispagroup.com,info@mediterraneo-hispagroup.com
172,"GRUPO EMPRESARIAL LUALCA, S.L.",917081160,www.lualca.es,lualca@lualca.es
173,"MOYDE MATERIALES DE CONSTRUCCION, S.L.",974218761,mailto:mconstruccion@moyde.es?subject=Contacto desde https://empresite.eleconomista.es,mconstruccion@moyde.es
174,"DISELMATIC, S.L.",938794120,www.diselmatic.com,diselmatic@diselmatic.com
175,"CENTRO MADERA Y MUEBLE 2014, S.L.",916150186,not found,not found
176,"ELECTRO BERMA, S.L.",928466147,www.electroberma.com,electroberma@electroberma.es
177,"MATERIALS CAMPS, S.L.",937640443,www.camps.bigmat.es,jcamps@bigmat.es
178,"MULTIPIO, S.L.",952805451,mailto:jbcomercial@bigmat.es?subject=Contacto desde https://empresite.eleconomista.es,jbcomercial@bigmat.es
179,"COFRELEC ELECTRICA MOLINS, S.L.",936661160,mailto:fiscal.sf@fornellconsulors.com?subject=Contacto desde https://empresite.eleconomista.es,fiscal.sf@fornellconsulors.com
180,"SIS GRUP GIRONA 1993, S.L.",not found,not found,not found
181,"ESTUDIO ALVAREZ-SALA, S.L.P.",914350373,www.eas.com,estudio@eas.es
182,"EMIL IMPORT, S.L.",962772295,www.emilimport.com,comercial@emilimport.com
183,"FES MES SUBMINISTRES, S.L.",972205350,www.fesmes.cat,not found
184,"HIERROS BAM, S.L.",946824326,www.hierrosbam.net,hierros@hierrosbam.net
185,"HIERROS BELOKI, S.L.",942210350,www.hierrosbeloki.es,hierros@hierrossantander.com
186,"JUAN FERRIOL E HIJOS, S.L.",971520081,www.ferriol.net,ferriol@ferriol.net
187,"PINTURAS JANER, S.A.",938172159,www.pinturesjaner.com,janer@pinturesjaner.com
188,"SERVICOLOR ONDARA, S.L. ",966476753,www.servicolor.com,contabilidad@servicolor.com
189,"SALTOKI GIRONA, S.A.",948189018,www.saltoki.com,girona@saltoki.es
